Timestamp [ms],Filename,Frame,X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees]
33636.299999999996,snapshot_251.png,2040597,676.738,-719.367,114.145,-94.7938,-0.16792,-0.146871
33773.7,snapshot_252.png,2040610,709.856,-723.9,113.924,-94.772,-0.327712,-0.180148
33905.299999999996,snapshot_253.png,2040622,741.644,-726.903,113.526,-94.6573,-0.508393,-0.175889
34037.2,snapshot_254.png,2040626,752.443,-728.2,113.14,-94.607,-0.494724,-0.0390579
34168.700000000004,snapshot_255.png,2040646,808.015,-734.985,112.112,-94.7748,-0.580173,0.0927083
34302.9,snapshot_256.png,2040657,838.382,-736.008,111.685,-88.4854,-0.553948,0.0610286
34439.799999999996,snapshot_257.png,2040667,865.405,-734.784,110.728,-86.2508,-0.258291,0.222742
34571.6,snapshot_258.png,2040687,915.557,-732.578,109.288,-85.5699,-0.202836,0.642269
34702.9,snapshot_259.png,2040698,943.233,-731.096,109.949,-85.4895,0.129556,-0.0285518
34838.2,snapshot_260.png,2040708,968.759,-729.644,109.785,-85.3739,-0.217575,0.0446888
34970.9,snapshot_261.png,2040728,1019.03,-726.324,108.613,-84.8968,-0.157192,0.33806
35108.5,snapshot_262.png,2040739,1045.91,-724.875,108.674,-85.1192,-0.0421529,-0.141611
35237.299999999996,snapshot_263.png,2040749,1071.22,-723.303,108.196,-85.0199,0.207885,-0.120627
35368.7,snapshot_264.png,2040759,1096.49,-721.295,107.445,-84.6105,0.270195,0.194511
35513.399999999994,snapshot_265.png,2040779,1146.95,-717.56,106.433,-84.3848,-0.0602779,0.303386
35639.299999999996,snapshot_266.png,2040790,1174.41,-714.923,105.841,-84.2901,-0.142727,0.47909
35770.0,snapshot_267.png,2040800,1199.09,-712.77,105.337,-84.1861,-0.548827,0.768111
35905.0,snapshot_268.png,2040820,1248.21,-709.517,104.43,-84.0664,-0.877916,0.812525
36041.1,snapshot_269.png,2040831,1275.25,-707.815,103.824,-84.3306,-0.544351,0.355167
36170.9,snapshot_270.png,2040841,1299.75,-705.927,103.804,-84.2145,-0.0496814,0.411007
36305.2,snapshot_271.png,2040861,1348.89,-701.875,102.508,-84.0392,-0.179856,0.37875
36437.9,snapshot_272.png,2040872,1376.61,-699.817,101.525,-84.3789,-1.47629,0.111892
36575.0,snapshot_273.png,2040882,1400.92,-697.916,101.535,-84.1217,-0.227724,0.22689
36707.799999999996,snapshot_274.png,2040902,1450.03,-693.523,101.063,-83.7257,-0.235662,0.267938
36838.9,snapshot_275.png,2040913,1477.91,-690.888,100.805,-83.4612,-0.224698,0.318374
36972.700000000004,snapshot_276.png,2040930,1524.47,-686.815,100.059,-83.2317,-0.115828,0.34327
37109.299999999996,snapshot_277.png,2040944,1563.83,-682.447,98.4358,-82.7647,-0.583264,0.966415
